Navn,OrgNr,NACE_kode,NACE_beskrivelse,aar,AntallAnsatte,driftsinntekter,driftskostnad,driftsresultat,%driftsmargin,finansinntekter,finanskostnader,nettofinans,%nettoFinansMargin,resultatFørSkatt,%resultatFørSkatt,aarsresultat,%aarsResultat,totalresultat,anleggsmidler,omlopsmidler,sumEiendeler,%ROA,innskuttEgenkapital,egenkapital,%ROE,%egenkapitalAndel,sumGjeld,%gjeldsgrad,%gearing,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,%likviditetsgrad,omsetningPrAnsatt,HarRegnskap2023Og2024
ANKER BILSERVICE AS,915000959,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,10452885,9742668,710217,"6,79 %",5784,15377,-9593,"-0,09 %",700625,"6,70 %",700625,"6,70 %",,412809,2045505,2458314,"28,50 %",30000,1284619,"54,54 %","52,26 %",1173695,"91,37 %","47,74 %",2458314,0,1173695,"174,28 %",1742148,1
ANKER DEKK AS,924358041,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,11,9535691,9222259,313432,"3,29 %",22292,14477,7816,"0,08 %",321248,"3,37 %",249979,"2,62 %",,114529,3604860,3719389,"6,72 %",1743972,1805772,"13,84 %","48,55 %",1913617,"105,97 %","51,45 %",3719389,0,1913617,"188,38 %",866881,1
ANTEC NORGE AS,928241041,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,9,65931295,55887365,10043930,"15,23 %",299712,165986,133726,"0,20 %",10177656,"15,44 %",7924478,"12,02 %",7924478,842242,23165392,24007634,"33,01 %",256980,10907681,"72,65 %","45,43 %",13099953,"120,10 %","54,57 %",24007634,415817,12684136,"182,63 %",7325699,1
ANTIRUSTSENTERET TRØNDELAG AS,888541772,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,4881922,4745531,136391,"2,79 %",1088,64275,-63187,"-1,29 %",73204,"1,50 %",73204,"1,50 %",,316756,1051667,1368422,"5,35 %",100000,11345,"645,25 %","0,83 %",1357077,"11961,90 %","99,17 %",1368422,260797,1096280,"95,93 %",813654,0
APEX AUTO AS,919062150,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,6025948,5762660,263288,"4,37 %",12078,758,11320,"0,19 %",274608,"4,56 %",267552,"4,44 %",,220928,1637050,1857978,"14,40 %",100000,1273150,"21,01 %","68,52 %",584828,"45,94 %","31,48 %",1857978,7056,577772,"283,34 %",1004325,1
AQUA BIL AS,915388159,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,7,27884331,25449942,2434389,"8,73 %",-906,50270,-51176,"-0,18 %",2383212,"8,55 %",1808916,"6,49 %",1808916,16443,6944017,6960459,"25,99 %",30000,5947920,"30,41 %","85,45 %",1012539,"17,02 %","14,55 %",6960459,0,1012539,"685,80 %",3983476,1
AQUASHINE BILPLEIE & DEKK AS,995855690,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,12,4906953,4512487,394466,"8,04 %",533,56023,-55490,"-1,13 %",338976,"6,91 %",252334,"5,14 %",,319998,1821568,2141566,"11,78 %",100000,385390,"65,47 %","18,00 %",1756176,"455,69 %","82,00 %",2141566,383503,1372673,"132,70 %",408913,1
ARCTIC MOTOR AS,985823995,45.403,Vedlikehold og reparasjon av motorsykler,2024,11,36741704,38624195,-1882491,"-5,12 %",2607,2292004,-2289398,"-6,23 %",-4171889,"-11,35 %",-4028662,"-10,96 %",-4028662,1518592,17753837,19272429,"-20,90 %",1965998,1965998,"-204,92 %","10,20 %",17306430,"880,29 %","89,80 %",19272429,4895946,12410484,"143,06 %",3340155,1
ARCTIC TRUCKS NORGE AS,979994893,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,35,157613289,138965153,18648135,"11,83 %",798790,4546510,-3747720,"-2,38 %",14900415,"9,45 %",11652378,"7,39 %",11652378,16713280,89172233,105885513,"11,00 %",3958090,30646764,"38,02 %","28,94 %",75238749,"245,50 %","71,06 %",105885513,10058097,65180652,"136,81 %",4503237,1
ARENA MC AS,918316760,45.402,"Detaljhandel med motorsykler, deler og utstyr",2024,13,35712503,34202956,1509547,"4,23 %",441,8540,-8099,"-0,02 %",1501448,"4,20 %",1171163,"3,28 %",1171163,362889,10958870,11321759,"10,34 %",2400000,4330039,"27,05 %","38,25 %",6991720,"161,47 %","61,75 %",11321759,3243071,3748649,"292,34 %",2747116,1
ARENDAL AUTO AS,983877605,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,21,156787342,150708802,6078540,"3,88 %",206876,455815,-248939,"-0,16 %",5829601,"3,72 %",4550753,"2,90 %",4550753,955416,45162028,46117444,"9,87 %",3010000,9064641,"50,20 %","19,66 %",37052803,"408,76 %","80,34 %",46117444,7490189,29562614,"152,77 %",7466064,1
ARENDAL BIL AS,912116670,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",2024,7,70464955,67033951,3431003,"4,87 %",2720301,2253276,467026,"0,66 %",3898029,"5,53 %",3061032,"4,34 %",3061032,9647221,32307954,41955175,"7,30 %",5333325,40255079,"7,60 %","95,95 %",1700095,"4,22 %","4,05 %",41955175,0,1700095,"1900,36 %",10066422,1
ARILDS MOTORSENTER AS,990718776,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,22,88397313,80496597,7900716,"8,94 %",58430,1067652,-1009222,"-1,14 %",6891494,"7,80 %",5375641,"6,08 %",,1940000,37085030,39025030,"13,77 %",50000,7033796,"76,43 %","18,02 %",31991234,"454,82 %","81,98 %",39025030,4268662,27722571,"133,77 %",4018060,0
ARINA BILVASK AS,993587869,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,1689000,1635657,53343,"3,16 %",,,0,"0,00 %",53343,"3,16 %",10343,"0,61 %",,0,189530,189530,"5,46 %",100000,7303,"141,63 %","3,85 %",235570,"3225,66 %","124,29 %",242873,0,235570,"80,46 %",211125,1
ARNE GULBRANDSEN AS,916780648,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,10,16049186,15031610,1017576,"6,34 %",14617,199761,-185144,"-1,15 %",832432,"5,19 %",692482,"4,31 %",692482,5418265,1811762,7230027,"9,58 %",700000,2517429,"27,51 %","34,82 %",4712598,"187,20 %","65,18 %",7230027,2065460,2647138,"68,44 %",1604919,1
ARNESEN AUTOKAROSSERI AS,997290674,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,6824689,7527415,-702726,"-10,30 %",2958,135660,-132702,"-1,94 %",-835428,"-12,24 %",-835428,"-12,24 %",,148480,1958630,2107110,"-39,65 %",1271680,-628535,"132,92 %","-29,83 %",2735645,"-435,24 %","129,83 %",2107110,0,2735645,"71,60 %",853086,1
ARVE OPSAHL AS,918040242,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",2024,13,140004646,127564531,12440115,"8,89 %",1576375,7277978,-5701603,"-4,07 %",6738512,"4,81 %",5072851,"3,62 %",,61338425,66124522,127462947,"3,98 %",41614688,41614688,"12,19 %","32,65 %",85848259,"206,29 %","67,35 %",127462947,30867698,54980561,"120,27 %",10769588,1
AS ASKIM BILREKVISITA,885049702,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,11,21365282,21770298,-405016,"-1,90 %",5926,297293,-291367,"-1,36 %",-696383,"-3,26 %",-544959,"-2,55 %",,497682,7848368,8346050,"-6,53 %",100000,-438271,"124,34 %","-5,25 %",8784321,"-2004,31 %","105,25 %",8346050,4454413,4329908,"181,26 %",1942298,1
AS AUTO ELEKTRO,918542272,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,17,41790592,41947385,-156792,"-0,38 %",79836,626248,-546411,"-1,31 %",-703204,"-1,68 %",-547198,"-1,31 %",-547198,12894477,10760337,23654814,"-2,31 %",100000,7778578,"-7,03 %","32,88 %",15876237,"204,10 %","67,12 %",23654814,8993111,6883126,"156,33 %",2458270,1
AS BIL & BO,918029478,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,25,45059575,43375931,1683644,"3,74 %",86077,668280,-582203,"-1,29 %",1101441,"2,44 %",859492,"1,91 %",,8916191,12615836,21532027,"3,99 %",2550000,5470298,"15,71 %","25,41 %",16061730,"293,62 %","74,59 %",21532028,11847758,4213972,"299,38 %",1802383,1
AS DIESEL-ELEKTRO,961800242,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,6,10666845,8606247,2060598,"19,32 %",2306,913,1393,"0,01 %",2061991,"19,33 %",1607776,"15,07 %",1607776,559615,4541745,5101360,"31,52 %",200000,3745880,"42,92 %","73,43 %",1355480,"36,19 %","26,57 %",5101360,0,1355480,"335,07 %",1777808,0
AS ELEKTRO BILXTRAVERKSTED,924697261,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,19,26164727,20894109,5270618,"20,14 %",332189,6079,326110,"1,25 %",5596727,"21,39 %",4350125,"16,63 %",,752784,11869641,12622425,"34,46 %",100000,821376,"529,61 %","6,51 %",11801050,"1436,74 %","93,49 %",12622426,0,11801050,"100,58 %",1377091,1
AS INSIGNIA,979474075,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,72,372381012,361800425,10580586,"2,84 %",296257,8561221,-8264964,"-2,22 %",2315622,"0,62 %",1785325,"0,48 %",1785325,7943152,166471237,174414389,"1,02 %",3721340,17052090,"10,47 %","9,78 %",157362299,"922,83 %","90,22 %",174414389,0,157362299,"105,79 %",5171959,1
AS KELLOX,984438524,45.401,"Agentur- og engroshandel med motorsykler, deler og utstyr",2024,20,261769302,261939552,-170251,"-0,07 %",460185,8010492,-7550307,"-2,88 %",-7720557,"-2,95 %",-6046678,"-2,31 %",-6046678,6130527,204532798,210663325,"-2,87 %",32051200,63941659,"-9,46 %","30,35 %",146721666,"229,46 %","69,65 %",210663325,0,146721666,"139,40 %",13088465,1
AS NORMASKIN TANA,933693333,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,10,13964279,15333928,-1369650,"-9,81 %",44101,102443,-58342,"-0,42 %",-1427992,"-10,23 %",-1427992,"-10,23 %",-1427992,2016594,4042929,6059523,"-23,57 %",100000,4441255,"-32,15 %","73,29 %",1618268,"36,44 %","26,71 %",6059523,468899,1149369,"351,75 %",1396428,1
ASBJØRNS BILVERKSTED AS,995618915,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,10003121,8639535,1363585,"13,63 %",381933,297,381636,"3,82 %",1745221,"17,45 %",1361385,"13,61 %",1361385,1229590,10204776,11434365,"11,91 %",100000,9522518,"14,30 %","83,28 %",1911847,"20,08 %","16,72 %",11434365,0,1911847,"533,77 %",1667187,1
ASKER AUTO CARE AS,933837165,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,1241312,1613713,-372402,"-30,00 %",,4396,-4396,"-0,35 %",-376798,"-30,35 %",-376798,"-30,35 %",,644974,377842,1022816,"-36,84 %",30000,-346798,"108,65 %","-33,91 %",1369614,"-394,93 %","133,91 %",1022816,0,1369614,"27,59 %",206885,0
ASKER BRUKTBIL AS,827216232,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,11576455,10209338,1367116,"11,81 %",,,,,1367116,"11,81 %",1066350,"9,21 %",1066350,0,2537109,2537109,"42,03 %",30000,1810385,"58,90 %","71,36 %",726724,"40,14 %","28,64 %",2537109,0,726724,"349,12 %",2315291,1
ASKER DEKK AS,913516478,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,9761474,9827886,-66412,"-0,68 %",1505,64958,-63453,"-0,65 %",-129865,"-1,33 %",-180236,"-1,85 %",-180236,1100660,2072800,3173459,"-5,68 %",351300,886629,"-20,33 %","27,94 %",2286830,"257,92 %","72,06 %",3173459,189299,2097531,"98,82 %",1626912,0
ASKER ELEKTRO DIESEL AS,954501183,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,14267202,9500555,4766647,"33,41 %",17951,41825,-23873,"-0,17 %",4742774,"33,24 %",3689159,"25,86 %",,6058414,7133875,13192289,"27,96 %",1300000,4345991,"84,89 %","32,94 %",8846298,"203,55 %","67,06 %",13192289,0,8846298,"80,64 %",2038172,1
ASKØY AUTO SERVICE AS,840921352,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,4287293,3378997,908296,"21,19 %",848745,13951,834794,"19,47 %",1743090,"40,66 %",1538714,"35,89 %",,532526,7234541,7767067,"19,81 %",100000,6903572,"22,29 %","88,88 %",863495,"12,51 %","11,12 %",7767067,11553,851942,"849,18 %",857459,1
ASLAM BILSERVICE AS,892480532,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,5,5130950,5045337,85613,"1,67 %",,1,-1,"-0,00 %",85612,"1,67 %",85612,"1,67 %",85612,96692,1234614,1331306,"6,43 %",30000,860522,"9,95 %","64,64 %",470784,"54,71 %","35,36 %",1331306,0,470784,"262,25 %",1026190,0
A-TEAM BIL AS,818093772,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,14,16848963,16548962,300001,"1,78 %",46926,1856,45070,"0,27 %",345071,"2,05 %",268083,"1,59 %",,1031507,5564656,6596163,"4,06 %",450000,4339585,"6,18 %","65,79 %",2256577,"52,00 %","34,21 %",6596162,0,2256577,"246,60 %",1203497,1
ATLANTIC AUTO AS,929023803,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,18,14452681,12721778,1730903,"11,98 %",2003731,-626040,2629771,"18,20 %",4360673,"30,17 %",3581036,"24,78 %",3581036,2956360,42055732,45012092,"7,96 %",957258,42340565,"8,46 %","94,06 %",2671526,"6,31 %","5,94 %",45012091,86124,2585403,"1626,66 %",802927,1
ATLANTIC MOBILITY AS,929619803,77.110,Utleie og leasing av biler og andre lette motorvogner,2024,58,143017632,147856314,-4838682,"-3,38 %",469902,2784995,-2315093,"-1,62 %",-7153775,"-5,00 %",-5579944,"-3,90 %",,34114104,20628392,54742496,"-10,19 %",6501224,8326731,"-67,01 %","15,21 %",46415765,"557,43 %","84,79 %",54742496,33871115,12544650,"164,44 %",2465821,1
ATR AUTOSERVICE AS,991036547,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,10881054,10497736,383318,"3,52 %",830151,2764,827387,"7,60 %",1210705,"11,13 %",1093722,"10,05 %",,1284147,8582912,9867059,"11,08 %",250000,8694474,"12,58 %","88,12 %",1172585,"13,49 %","11,88 %",9867059,0,1172585,"731,97 %",1360132,1
ATRACCO AS,884279682,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,53,92400215,90446346,1953870,"2,11 %",110788,1761348,-1650560,"-1,79 %",303310,"0,33 %",303310,"0,33 %",303310,17576839,56424181,74001020,"0,41 %",15100000,5373767,"5,64 %","7,26 %",68627253,"1277,08 %","92,74 %",74001020,0,68627253,"82,22 %",1743400,1
ATS NORWAY AS,925305227,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",2024,19,434364249,425486736,8877513,"2,04 %",1721013,766371,954642,"0,22 %",9832155,"2,26 %",7857882,"1,81 %",7857882,7098158,24784096,31882254,"24,65 %",1025912,3741498,"210,02 %","11,74 %",28140756,"752,13 %","88,26 %",31882254,507139,27633617,"89,69 %",22861276,1
ATV MAGASINET AS,812486632,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,9,15121784,14441190,680593,"4,50 %",109777,-95,109872,"0,73 %",790465,"5,23 %",622431,"4,12 %",622431,0,6532354,6532354,"9,53 %",90000,239377,"260,02 %","3,66 %",6292977,"2628,90 %","96,34 %",6532354,0,6292977,"103,80 %",1680198,1
ATV MOTOR AS,929449800,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,6,23350430,22917590,432840,"1,85 %",20060,39175,-19115,"-0,08 %",413725,"1,77 %",324216,"1,39 %",,0,10144648,10144648,"3,20 %",500000,4436501,"7,31 %","43,73 %",5708147,"128,66 %","56,27 %",10144648,1483303,4224843,"240,12 %",3891738,1
ATV OG FRITID AS,975877620,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,5,22039996,18966727,3073269,"13,94 %",84761,330094,-245333,"-1,11 %",2827935,"12,83 %",2196368,"9,97 %",2196368,205672,12575686,12781358,"17,18 %",330000,1000000,"219,64 %","7,82 %",11781358,"1178,14 %","92,18 %",12781358,0,11781358,"106,74 %",4407999,0
AUDIOCOM AS,946237493,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",2024,5,15256175,14238314,1017861,"6,67 %",91460,483180,-391720,"-2,57 %",626141,"4,10 %",488273,"3,20 %",488273,207007,10050689,10257696,"4,76 %",101550,5839038,"8,36 %","56,92 %",4418658,"75,67 %","43,08 %",10257696,2530261,1888396,"532,23 %",3051235,1
AUKRA AUTO AS,955902491,49.392,Turbiltransport,2024,19,17686932,16424036,1262896,"7,14 %",50534,712,49821,"0,28 %",1312717,"7,42 %",1023454,"5,79 %",,1776316,6429311,8205627,"12,47 %",1500000,4040597,"25,33 %","49,24 %",4165029,"103,08 %","50,76 %",8205626,0,4165029,"154,36 %",930891,0
AUKSJONEN.NO AS,897396572,63.120,Drift av web-portaler,2024,130,503725789,340525801,163199988,"32,40 %",13961336,4617386,9343950,"1,85 %",172543938,"34,25 %",129274558,"25,66 %",,57903167,466719404,524622571,"24,64 %",19358510,70033255,"184,59 %","13,35 %",454589316,"649,10 %","86,65 %",524622571,19455474,435133842,"107,26 %",3874814,1
AUNANS BILVERKSTED AS,918924493,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,6,10792761,10313832,478929,"4,44 %",5966,105021,-99055,"-0,92 %",379875,"3,52 %",297631,"2,76 %",,3569596,1699834,5269429,"5,65 %",779907,3064880,"9,71 %","58,16 %",2204550,"71,93 %","41,84 %",5269430,1120141,1084409,"156,75 %",1798794,0
AURE BIL OG FRITID AS,915492851,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,12,37966980,35103035,2863945,"7,54 %",27059,787385,-760326,"-2,00 %",2103620,"5,54 %",1598544,"4,21 %",,1830510,19548819,21379329,"7,48 %",529500,4180887,"38,23 %","19,56 %",17198441,"411,36 %","80,44 %",21379328,7191936,10006505,"195,36 %",3163915,1
AUSTEVOLL AUTO AS,983984266,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,8,21378812,18275771,3103041,"14,51 %",60989,61127,-138,"-0,00 %",3102902,"14,51 %",2412792,"11,29 %",2412792,2388000,10853021,13241021,"18,22 %",150000,3117644,"77,39 %","23,55 %",10123377,"324,71 %","76,45 %",13241021,272827,9850549,"110,18 %",2672352,1
AUTAGRO SERVICESENTER AS,998327431,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,7,8118877,7770474,348403,"4,29 %",14063,74527,-60464,"-0,74 %",287939,"3,55 %",224592,"2,77 %",224592,466092,2282772,2748864,"8,17 %",340000,420990,"53,35 %","15,32 %",2327874,"552,95 %","84,68 %",2748864,0,2327874,"98,06 %",1159840,1
AUTO & DEKKSERVICE AS,974442566,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,13728644,11757389,1971255,"14,36 %",582,43548,-42966,"-0,31 %",1928289,"14,05 %",1515222,"11,04 %",,253879,4813711,5067590,"29,90 %",100000,2762810,"54,84 %","54,52 %",2304780,"83,42 %","45,48 %",5067590,250000,2054780,"234,27 %",1525405,1
AUTO 1 PREMIUM AS,913705629,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,5,36995218,36869448,125770,"0,34 %",246159,1568248,-1322089,"-3,57 %",-1196319,"-3,23 %",-953865,"-2,58 %",,3086662,16003629,19090291,"-5,00 %",30000,3097038,"-30,80 %","16,22 %",15993253,"516,40 %","83,78 %",19090291,7153492,8839761,"181,04 %",7399044,0
AUTO 1 SKIEN AS,996340465,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,9,10073399,9654995,418403,"4,15 %",13956,16009,-2053,"-0,02 %",416351,"4,13 %",305911,"3,04 %",,686676,2100900,2787576,"10,97 %",100000,427469,"71,56 %","15,33 %",2360107,"552,11 %","84,67 %",2787576,238545,2121562,"99,03 %",1119267,1
AUTO 2000 AS,919213566,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,28,128578085,127263618,1314467,"1,02 %",132544,181918,-49374,"-0,04 %",1265093,"0,98 %",995264,"0,77 %",995264,1590681,19410561,21001242,"4,74 %",1050000,2590042,"38,43 %","12,33 %",18411200,"710,85 %","87,67 %",21001242,900000,17511200,"110,85 %",4592074,1
AUTO 8-8 FORUM AS,959167915,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,33,168940741,168974037,-33296,"-0,02 %",19973,2904220,-2884247,"-1,71 %",-2917543,"-1,73 %",-2278478,"-1,35 %",-2278478,3616520,76159525,79776045,"-2,86 %",9083085,12142122,"-18,77 %","15,22 %",67633923,"557,02 %","84,78 %",79776045,6000000,61633923,"123,57 %",5119416,1
AUTO 8-8 HOLDING AS,912261743,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,22,20753113,21783724,-1030611,"-4,97 %",8290037,267825,8022213,"38,66 %",6991602,"33,69 %",6333283,"30,52 %",6333283,73550191,21383710,94933901,"6,67 %",10420000,62147504,"10,19 %","65,46 %",32786397,"52,76 %","34,54 %",94933901,2794493,29991904,"71,30 %",943323,1
AUTO 8-8 IMAAS AS,934283171,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,26,103383007,103908773,-525766,"-0,51 %",121074,1248504,-1127430,"-1,09 %",-1653196,"-1,60 %",-1290798,"-1,25 %",-1290798,4427951,32882670,37310621,"-3,46 %",2748000,11923357,"-10,83 %","31,96 %",25387264,"212,92 %","68,04 %",37310621,0,25387264,"129,52 %",3976270,1
AUTO 8-8 MOLDE AS,912511782,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,27,194866275,198281480,-3415205,"-1,75 %",635566,2560827,-1925261,"-0,99 %",-5340466,"-2,74 %",-4168581,"-2,14 %",-4168581,7298539,58189338,65487878,"-6,37 %",10465911,15975214,"-26,09 %","24,39 %",49512663,"309,93 %","75,61 %",65487878,0,49512663,"117,52 %",7217269,1
AUTO 8-8 SILDNES & HALAAS AS,919687304,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",2024,52,322062673,319203102,2859572,"0,89 %",50164,5072248,-5022084,"-1,56 %",-2162512,"-0,67 %",-1688652,"-0,52 %",-1688652,3998044,114328984,118327029,"-1,43 %",12276571,20946231,"-8,06 %","17,70 %",97380798,"464,91 %","82,30 %",118327029,0,97380798,"117,40 %",6193513,1
AUTO 8-8 WITRO AS,838525172,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",2024,33,222832772,207335727,15497045,"6,95 %",3481951,501911,2980040,"1,34 %",18477085,"8,29 %",14586273,"6,55 %",,11639273,86558037,98197310,"14,85 %",19033946,33593488,"43,42 %","34,21 %",64603822,"192,31 %","65,79 %",98197310,0,64603822,"133,98 %",6752508,1
